animal_id,pet_id,timestamp,timezone,species,sex,life_stage,region_id,region,state,climate_zone,age_years,weight_kg,baseline_hr,baseline_spo2,baseline_temp,heart_rate,spo2,temperature,light,gps_lat,gps_lon,gps_speed_mps,ambient_temperature_c,relative_humidity_pct,wind_speed_mps,temperature_humidity_index,respiration_rate_bpm,shade_access_fraction,cooling_access_fraction,shelter_protection_fraction,injected_scenario,label,risk_type,target_hypoxemia,target_fever,target_abnormal_resting_hr,target_activity_reduction,target_heat_stress,target_cold_stress,sensor_missing_count,sensor_outlier_count
BUFFALO_JK_001,BUFFALO_JK_001,2026-01-01 00:00:00,Asia/Kolkata,buffalo,female,adult,JK,Srinagar,Jammu and Kashmir,cold_winter,6.282749,458.622528,59.166785,97.686637,38.318035,61.847079,97.643065,38.166690,41.505244,34.113700,74.827300,0.000000,-3.309928,84.392501,2.280604,28.806206,21.371905,0.623008,0.081003,0.215509,abnormal_resting_hr,1,cold_stress,0,0,0,0,0,1,0,0
BUFFALO_JK_001,BUFFALO_JK_001,2026-01-01 00:01:00,Asia/Kolkata,buffalo,female,adult,JK,Srinagar,Jammu and Kashmir,cold_winter,6.282749,458.622528,59.166785,97.686637,38.318035,64.416549,97.659471,38.134588,92.368674,34.113693,74.827276,0.038134,-3.127910,83.784509,2.080208,29.211998,20.556445,0.623008,0.081003,0.215509,abnormal_resting_hr,1,cold_stress,0,0,0,0,0,1,0,0
BUFFALO_JK_001,BUFFALO_JK_001,2026-01-01 00:02:00,Asia/Kolkata,buffalo,female,adult,JK,Srinagar,Jammu and Kashmir,cold_winter,6.282749,458.622528,59.166785,97.686637,38.318035,62.722300,97.872372,38.115538,0.000000,34.113678,74.827251,0.048293,-3.066811,83.377699,2.180364,29.383126,20.609674,0.623008,0.081003,0.215509,abnormal_resting_hr,1,cold_stress,0,0,0,0,0,1,0,0
BUFFALO_JK_001,BUFFALO_JK_001,2026-01-01 00:03:00,Asia/Kolkata,buffalo,female,adult,JK,Srinagar,Jammu and Kashmir,cold_winter,6.282749,458.622528,59.166785,97.686637,38.318035,63.037754,98.001295,38.112090,54.420453,34.113706,74.827260,0.053537,-3.157877,81.849375,2.284267,29.502685,20.067000,0.623008,0.081003,0.215509,abnormal_resting_hr,1,cold_stress,0,0,0,0,0,1,0,0
BUFFALO_JK_001,BUFFALO_JK_001,2026-01-01 00:04:00,Asia/Kolkata,buffalo,female,adult,JK,Srinagar,Jammu and Kashmir,cold_winter,6.282749,458.622528,59.166785,97.686637,38.318035,63.590060,97.954784,38.111817,59.817206,34.113723,74.827245,0.039708,-3.133636,80.377485,2.315048,29.799995,19.275307,0.623008,0.081003,0.215509,abnormal_resting_hr,1,cold_stress,0,0,0,0,0,1,0,0
BUFFALO_JK_001,BUFFALO_JK_001,2026-01-01 00:05:00,Asia/Kolkata,buffalo,female,adult,JK,Srinagar,Jammu and Kashmir,cold_winter,6.282749,458.622528,59.166785,97.686637,38.318035,63.139825,98.025282,38.141350,0.000000,34.113723,74.827259,0.022746,-3.117913,80.118928,2.300009,29.870506,19.792034,0.623008,0.081003,0.215509,abnormal_resting_hr,1,cold_stress,0,0,0,0,0,1,0,0
BUFFALO_JK_001,BUFFALO_JK_001,2026-01-01 00:06:00,Asia/Kolkata,buffalo,female,adult,JK,Srinagar,Jammu and Kashmir,cold_winter,6.282749,458.622528,59.166785,97.686637,38.318035,61.470176,97.885263,38.150278,187.624228,34.113700,74.827293,0.065707,-2.983833,81.284643,2.096715,29.882548,20.755617,0.623008,0.081003,0.215509,abnormal_resting_hr,1,cold_stress,0,0,0,0,0,1,0,0
BUFFALO_JK_001,BUFFALO_JK_001,2026-01-01 00:07:00,Asia/Kolkata,buffalo,female,adult,JK,Srinagar,Jammu and Kashmir,cold_winter,6.282749,458.622528,59.166785,97.686637,38.318035,62.991559,97.848807,38.127158,207.325628,34.113676,74.827290,0.045915,-3.027565,81.357825,2.121743,29.799260,21.031670,0.623008,0.081003,0.215509,abnormal_resting_hr,1,cold_stress,0,0,0,0,0,1,0,0
BUFFALO_JK_001,BUFFALO_JK_001,2026-01-01 00:08:00,Asia/Kolkata,buffalo,female,adult,JK,Srinagar,Jammu and Kashmir,cold_winter,6.282749,458.622528,59.166785,97.686637,38.318035,61.695734,97.759385,38.138151,0.000000,34.113661,74.827285,0.028316,-3.036118,81.759495,2.190199,29.715424,20.548672,0.623008,0.081003,0.215509,abnormal_resting_hr,1,cold_stress,0,0,0,0,0,1,0,0
BUFFALO_JK_001,BUFFALO_JK_001,2026-01-01 00:09:00,Asia/Kolkata,buffalo,female,adult,JK,Srinagar,Jammu and Kashmir,cold_winter,6.282749,458.622528,59.166785,97.686637,38.318035,60.594346,97.596393,38.131629,15.417970,34.113650,74.827267,0.034044,-3.070269,81.020918,2.254390,29.789212,20.542475,0.623008,0.081003,0.215509,abnormal_resting_hr,1,cold_stress,0,0,0,0,0,1,0,0
BUFFALO_JK_001,BUFFALO_JK_001,2026-01-01 00:10:00,Asia/Kolkata,buffalo,female,adult,JK,Srinagar,Jammu and Kashmir,cold_winter,6.282749,458.622528,59.166785,97.686637,38.318035,63.296568,97.557587,38.113963,0.000000,34.113676,74.827266,0.047345,-3.149571,81.072748,2.086421,29.652423,20.074552,0.623008,0.081003,0.215509,abnormal_resting_hr,1,cold_stress,0,0,0,0,0,1,0,0
BUFFALO_JK_001,BUFFALO_JK_001,2026-01-01 00:11:00,Asia/Kolkata,buffalo,female,adult,JK,Srinagar,Jammu and Kashmir,cold_winter,6.282749,458.622528,59.166785,97.686637,38.318035,61.425611,97.630739,38.099515,19.049793,34.113684,74.827252,0.026415,-3.160919,80.658709,2.091505,29.706854,20.752073,0.623008,0.081003,0.215509,abnormal_resting_hr,1,cold_stress,0,0,0,0,0,1,0,0
BUFFALO_JK_001,BUFFALO_JK_001,2026-01-01 00:12:00,Asia/Kolkata,buffalo,female,adult,JK,Srinagar,Jammu and Kashmir,cold_winter,6.282749,458.622528,59.166785,97.686637,38.318035,60.807441,97.945315,38.123824,0.000000,34.113706,74.827267,0.048842,-3.246604,80.918898,2.135702,29.523279,22.010296,0.623008,0.081003,0.215509,abnormal_resting_hr,1,cold_stress,0,0,0,0,0,1,0,0
BUFFALO_JK_001,BUFFALO_JK_001,2026-01-01 00:13:00,Asia/Kolkata,buffalo,female,adult,JK,Srinagar,Jammu and Kashmir,cold_winter,6.282749,458.622528,59.166785,97.686637,38.318035,60.364637,97.644381,38.140895,14.636334,34.113681,74.827266,0.047765,-3.321623,79.997102,2.132662,29.565916,21.919500,0.623008,0.081003,0.215509,abnormal_resting_hr,1,cold_stress,0,0,0,0,0,1,0,0
BUFFALO_JK_001,BUFFALO_JK_001,2026-01-01 00:14:00,Asia/Kolkata,buffalo,female,adult,JK,Srinagar,Jammu and Kashmir,cold_winter,6.282749,458.622528,59.166785,97.686637,38.318035,61.333042,97.581942,38.136663,12.796731,34.113683,74.827244,0.032884,-3.356901,80.231280,2.177102,29.467889,20.227717,0.623008,0.081003,0.215509,abnormal_resting_hr,1,cold_stress,0,0,0,0,0,1,0,0
BUFFALO_JK_001,BUFFALO_JK_001,2026-01-01 00:15:00,Asia/Kolkata,buffalo,female,adult,JK,Srinagar,Jammu and Kashmir,cold_winter,6.282749,458.622528,59.166785,97.686637,38.318035,63.290411,97.680067,38.134083,0.000000,34.113693,74.827256,0.025499,-3.301566,80.526851,2.193988,29.504233,19.505312,0.623008,0.081003,0.215509,abnormal_resting_hr,1,cold_stress,0,0,0,0,0,1,0,0
BUFFALO_JK_001,BUFFALO_JK_001,2026-01-01 00:16:00,Asia/Kolkata,buffalo,female,adult,JK,Srinagar,Jammu and Kashmir,cold_winter,6.282749,458.622528,59.166785,97.686637,38.318035,61.958116,97.603228,38.094811,202.273281,34.113686,74.827261,0.015931,-3.401600,79.954657,2.040821,29.445512,18.871840,0.623008,0.081003,0.215509,abnormal_resting_hr,1,cold_stress,0,0,0,0,0,1,0,0
BUFFALO_JK_001,BUFFALO_JK_001,2026-01-01 00:17:00,Asia/Kolkata,buffalo,female,adult,JK,Srinagar,Jammu and Kashmir,cold_winter,6.282749,458.622528,59.166785,97.686637,38.318035,62.242477,97.583012,38.109757,44.341071,34.113664,74.827257,0.041988,-3.429786,79.666998,2.021516,29.451716,19.618122,0.623008,0.081003,0.215509,abnormal_resting_hr,1,cold_stress,0,0,0,0,0,1,0,0
BUFFALO_JK_001,BUFFALO_JK_001,2026-01-01 00:18:00,Asia/Kolkata,buffalo,female,adult,JK,Srinagar,Jammu and Kashmir,cold_winter,6.282749,458.622528,59.166785,97.686637,38.318035,60.081322,97.759705,38.132224,0.000000,34.113651,74.827226,0.052671,-3.346866,79.331596,2.053874,29.643634,20.697677,0.623008,0.081003,0.215509,abnormal_resting_hr,1,cold_stress,0,0,0,0,0,1,0,0
BUFFALO_JK_001,BUFFALO_JK_001,2026-01-01 00:19:00,Asia/Kolkata,buffalo,female,adult,JK,Srinagar,Jammu and Kashmir,cold_winter,6.282749,458.622528,59.166785,97.686637,38.318035,61.455014,97.750493,38.136209,27.044799,34.113659,74.827249,0.038249,-3.281256,78.912075,1.862587,29.822349,20.551769,0.623008,0.081003,0.215509,abnormal_resting_hr,1,cold_stress,0,0,0,0,0,1,0,0
